,date,symbol,mcap,price,volume
461,20151201,LTC,149109386.31,3.43,2841631.5
462,20151201,XRP,137170516.86,0.00409,312400.53
463,20151201,ETH,65738037.41,0.8748,652857.0
464,20151201,DOGE,12986514.1,0.0001273,132870.27
465,20151201,DASH,12570194.45,2.08,37006.71
466,20151201,PPC,9326280.57,0.4089,109511.81
467,20151201,XLM,8410230.29,0.001739,4810.21
468,20151201,BTS,8096982.22,0.003195,92897.44
469,20151201,NXT,6054526.31,0.006055,31282.64
470,20151201,NMC,5897437.27,0.4526,32328.73
471,20151201,MAID,5621958.86,0.01242,16950.42
472,20151201,NSR,4898340.13,0.00594,1016.35
473,20151201,GRC,4413168.46,0.01191,8851.25
474,20151201,BCN,4223281.47,2.376e-05,8848.9
475,20151201,RBY,3900006.3,0.1737,4169.19
476,20151201,XMR,3845800.22,0.376,20745.65
477,20151201,GCR,2473382.15,0.02471,65016.83
478,20151201,YBC,1959394.32,0.6519,38052.52
479,20151201,XCP,1873356.37,0.7112,6564.87
480,20160101,BTC,6529295683.57,434.33,36278856.0
481,20160101,XRP,199716546.06,0.005955,211767.44
482,20160101,LTC,153910921.49,3.51,2791166.25
483,20160101,ETH,71980416.23,0.948,206062.28
484,20160101,DASH,20614654.86,3.38,98317.07
485,20160101,DOGE,15821162.83,0.0001544,105224.06
486,20160101,PPC,9511809.31,0.4157,29451.75
487,20160101,BTS,8777084.45,0.00346,18589.87
488,20160101,XLM,8456618.58,0.001748,4947.47
489,20160101,NXT,6677561.14,0.006678,11145.54
490,20160101,MAID,6514439.9,0.01439,5787.2
491,20160101,NMC,6023931.77,0.4538,10558.05
492,20160101,BCN,5481033.95,3.074e-05,7178.14
493,20160101,XMR,5259522.1,0.4979,88913.65
494,20160101,FCT,5178074.88,0.5915,502537.91
495,20160101,GRC,3260224.13,0.008775,2095.17
496,20160101,RBY,3117577.46,0.1382,1264.01
497,20160101,EMC,2859828.78,0.07772,1244.22
498,20160101,CLAM,2197584.9,1.44,9334.57
499,20160101,BLK,2080739.82,0.02768,5672.08
500,20160201,BTC,5653741138.89,373.06,51656732.0
